EXP_GENE,RT_GENE,CORR
AASS,ZKSCAN4-rt,0.907598598212
C12orf56,ZKSCAN4-rt,0.907598598212
CAPN11,ZKSCAN4-rt,0.907598598212
CHST4,ZKSCAN4-rt,0.907598598212
CPNE9,ZKSCAN4-rt,0.907598598212
CR2,ZKSCAN4-rt,0.907598598212
CYP2S1,ZKSCAN4-rt,0.907598598212
DNMT3B,ZKSCAN4-rt,0.907598598212
DPPA4,ZKSCAN4-rt,0.907598598212
EPHA1,ZKSCAN4-rt,0.907598598212
ERVMER34-1,ZKSCAN4-rt,0.907598598212
FAM124B,ZKSCAN4-rt,0.907598598212
FAM46B,ZKSCAN4-rt,0.907598598212
FOXD3,ZKSCAN4-rt,0.907598598212
GLS2,ZKSCAN4-rt,0.907598598212
HHLA2,ZKSCAN4-rt,0.907598598212
HLA-DPB2,ZKSCAN4-rt,0.907598598212
HTR3A,ZKSCAN4-rt,0.907598598212
IDO1,ZKSCAN4-rt,0.907598598212
JARID2,ZKSCAN4-rt,0.907598598212
KCND2,ZKSCAN4-rt,0.907598598212
LCK,ZKSCAN4-rt,0.907598598212
LECT1,ZKSCAN4-rt,0.907598598212
POLR3G,ZKSCAN4-rt,0.907598598212
PPM1B,ZKSCAN4-rt,0.907598598212
PRDM14,ZKSCAN4-rt,0.907598598212
RASGRP2,ZKSCAN4-rt,0.907598598212
SEMG1,ZKSCAN4-rt,0.907598598212
SMPDL3B,ZKSCAN4-rt,0.907598598212
SNRPN,ZKSCAN4-rt,0.907598598212
UGP2,ZKSCAN4-rt,0.907598598212
USP44,ZKSCAN4-rt,0.907598598212
VASH2,ZKSCAN4-rt,0.907598598212
ZDHHC19,ZKSCAN4-rt,0.907598598212
ZNF398,ZKSCAN4-rt,0.907598598212
ZSCAN10,ZKSCAN4-rt,0.907598598212
AASS,SEMA3E-rt,0.930364047351
C12orf56,SEMA3E-rt,0.930364047351
CAPN11,SEMA3E-rt,0.930364047351
CHST4,SEMA3E-rt,0.930364047351
CPNE9,SEMA3E-rt,0.930364047351
CR2,SEMA3E-rt,0.930364047351
CYP2S1,SEMA3E-rt,0.930364047351
DNMT3B,SEMA3E-rt,0.930364047351
DPPA4,SEMA3E-rt,0.930364047351
EPHA1,SEMA3E-rt,0.930364047351
ERVMER34-1,SEMA3E-rt,0.930364047351
FAM124B,SEMA3E-rt,0.930364047351
FAM46B,SEMA3E-rt,0.930364047351
FOXD3,SEMA3E-rt,0.930364047351
GLS2,SEMA3E-rt,0.930364047351
HHLA2,SEMA3E-rt,0.930364047351
HLA-DPB2,SEMA3E-rt,0.930364047351
HTR3A,SEMA3E-rt,0.930364047351
IDO1,SEMA3E-rt,0.930364047351
JARID2,SEMA3E-rt,0.930364047351
KCND2,SEMA3E-rt,0.930364047351
LCK,SEMA3E-rt,0.930364047351
LECT1,SEMA3E-rt,0.930364047351
POLR3G,SEMA3E-rt,0.930364047351
PPM1B,SEMA3E-rt,0.930364047351
PRDM14,SEMA3E-rt,0.930364047351
RASGRP2,SEMA3E-rt,0.930364047351
SEMG1,SEMA3E-rt,0.930364047351
SMPDL3B,SEMA3E-rt,0.930364047351
SNRPN,SEMA3E-rt,0.930364047351
UGP2,SEMA3E-rt,0.930364047351
USP44,SEMA3E-rt,0.930364047351
VASH2,SEMA3E-rt,0.930364047351
ZDHHC19,SEMA3E-rt,0.930364047351
ZNF398,SEMA3E-rt,0.930364047351
ZSCAN10,SEMA3E-rt,0.930364047351
AASS,TSG1-rt,0.851414447938
C12orf56,TSG1-rt,0.851414447938
CAPN11,TSG1-rt,0.851414447938
CHST4,TSG1-rt,0.851414447938
CPNE9,TSG1-rt,0.851414447938
CR2,TSG1-rt,0.851414447938
CYP2S1,TSG1-rt,0.851414447938
DNMT3B,TSG1-rt,0.851414447938
DPPA4,TSG1-rt,0.851414447938
EPHA1,TSG1-rt,0.851414447938
ERVMER34-1,TSG1-rt,0.851414447938
FAM124B,TSG1-rt,0.851414447938
FAM46B,TSG1-rt,0.851414447938
FOXD3,TSG1-rt,0.851414447938
GLS2,TSG1-rt,0.851414447938
HHLA2,TSG1-rt,0.851414447938
HLA-DPB2,TSG1-rt,0.851414447938
HTR3A,TSG1-rt,0.851414447938
IDO1,TSG1-rt,0.851414447938
JARID2,TSG1-rt,0.851414447938
KCND2,TSG1-rt,0.851414447938
LCK,TSG1-rt,0.851414447938
LECT1,TSG1-rt,0.851414447938
POLR3G,TSG1-rt,0.851414447938
PPM1B,TSG1-rt,0.851414447938
PRDM14,TSG1-rt,0.851414447938
RASGRP2,TSG1-rt,0.851414447938
SEMG1,TSG1-rt,0.851414447938
SMPDL3B,TSG1-rt,0.851414447938
SNRPN,TSG1-rt,0.851414447938
UGP2,TSG1-rt,0.851414447938
USP44,TSG1-rt,0.851414447938
VASH2,TSG1-rt,0.851414447938
ZDHHC19,TSG1-rt,0.851414447938
ZNF398,TSG1-rt,0.851414447938
ZSCAN10,TSG1-rt,0.851414447938
AASS,PRKCB-rt,0.876998480514
C12orf56,PRKCB-rt,0.876998480514
CAPN11,PRKCB-rt,0.876998480514
CHST4,PRKCB-rt,0.876998480514
CPNE9,PRKCB-rt,0.876998480514
CR2,PRKCB-rt,0.876998480514
CYP2S1,PRKCB-rt,0.876998480514
DNMT3B,PRKCB-rt,0.876998480514
DPPA4,PRKCB-rt,0.876998480514
EPHA1,PRKCB-rt,0.876998480514
ERVMER34-1,PRKCB-rt,0.876998480514
FAM124B,PRKCB-rt,0.876998480514
FAM46B,PRKCB-rt,0.876998480514
FOXD3,PRKCB-rt,0.876998480514
GLS2,PRKCB-rt,0.876998480514
HHLA2,PRKCB-rt,0.876998480514
HLA-DPB2,PRKCB-rt,0.876998480514
HTR3A,PRKCB-rt,0.876998480514
IDO1,PRKCB-rt,0.876998480514
JARID2,PRKCB-rt,0.876998480514
KCND2,PRKCB-rt,0.876998480514
LCK,PRKCB-rt,0.876998480514
LECT1,PRKCB-rt,0.876998480514
POLR3G,PRKCB-rt,0.876998480514
PPM1B,PRKCB-rt,0.876998480514
PRDM14,PRKCB-rt,0.876998480514
RASGRP2,PRKCB-rt,0.876998480514
SEMG1,PRKCB-rt,0.876998480514
SMPDL3B,PRKCB-rt,0.876998480514
SNRPN,PRKCB-rt,0.876998480514
UGP2,PRKCB-rt,0.876998480514
USP44,PRKCB-rt,0.876998480514
VASH2,PRKCB-rt,0.876998480514
ZDHHC19,PRKCB-rt,0.876998480514
ZNF398,PRKCB-rt,0.876998480514
ZSCAN10,PRKCB-rt,0.876998480514
AASS,BTN1A1-rt,0.857448173837
C12orf56,BTN1A1-rt,0.857448173837
CAPN11,BTN1A1-rt,0.857448173837
CHST4,BTN1A1-rt,0.857448173837
CPNE9,BTN1A1-rt,0.857448173837
CR2,BTN1A1-rt,0.857448173837
CYP2S1,BTN1A1-rt,0.857448173837
DNMT3B,BTN1A1-rt,0.857448173837
DPPA4,BTN1A1-rt,0.857448173837
EPHA1,BTN1A1-rt,0.857448173837
ERVMER34-1,BTN1A1-rt,0.857448173837
FAM124B,BTN1A1-rt,0.857448173837
FAM46B,BTN1A1-rt,0.857448173837
FOXD3,BTN1A1-rt,0.857448173837
GLS2,BTN1A1-rt,0.857448173837
HHLA2,BTN1A1-rt,0.857448173837
HLA-DPB2,BTN1A1-rt,0.857448173837
HTR3A,BTN1A1-rt,0.857448173837
IDO1,BTN1A1-rt,0.857448173837
JARID2,BTN1A1-rt,0.857448173837
KCND2,BTN1A1-rt,0.857448173837
LCK,BTN1A1-rt,0.857448173837
LECT1,BTN1A1-rt,0.857448173837
POLR3G,BTN1A1-rt,0.857448173837
PPM1B,BTN1A1-rt,0.857448173837
PRDM14,BTN1A1-rt,0.857448173837
RASGRP2,BTN1A1-rt,0.857448173837
SEMG1,BTN1A1-rt,0.857448173837
SMPDL3B,BTN1A1-rt,0.857448173837
SNRPN,BTN1A1-rt,0.857448173837
UGP2,BTN1A1-rt,0.857448173837
USP44,BTN1A1-rt,0.857448173837
VASH2,BTN1A1-rt,0.857448173837
ZDHHC19,BTN1A1-rt,0.857448173837
ZNF398,BTN1A1-rt,0.857448173837
ZSCAN10,BTN1A1-rt,0.857448173837
AASS,SNORD116-27-rt,0.913310498801
C12orf56,SNORD116-27-rt,0.913310498801
CAPN11,SNORD116-27-rt,0.913310498801
CHST4,SNORD116-27-rt,0.913310498801
CPNE9,SNORD116-27-rt,0.913310498801
CR2,SNORD116-27-rt,0.913310498801
CYP2S1,SNORD116-27-rt,0.913310498801
DNMT3B,SNORD116-27-rt,0.913310498801
DPPA4,SNORD116-27-rt,0.913310498801
EPHA1,SNORD116-27-rt,0.913310498801
ERVMER34-1,SNORD116-27-rt,0.913310498801
FAM124B,SNORD116-27-rt,0.913310498801
FAM46B,SNORD116-27-rt,0.913310498801
FOXD3,SNORD116-27-rt,0.913310498801
GLS2,SNORD116-27-rt,0.913310498801
HHLA2,SNORD116-27-rt,0.913310498801
HLA-DPB2,SNORD116-27-rt,0.913310498801
HTR3A,SNORD116-27-rt,0.913310498801
IDO1,SNORD116-27-rt,0.913310498801
JARID2,SNORD116-27-rt,0.913310498801
KCND2,SNORD116-27-rt,0.913310498801
LCK,SNORD116-27-rt,0.913310498801
LECT1,SNORD116-27-rt,0.913310498801
POLR3G,SNORD116-27-rt,0.913310498801
PPM1B,SNORD116-27-rt,0.913310498801
PRDM14,SNORD116-27-rt,0.913310498801
RASGRP2,SNORD116-27-rt,0.913310498801
SEMG1,SNORD116-27-rt,0.913310498801
SMPDL3B,SNORD116-27-rt,0.913310498801
SNRPN,SNORD116-27-rt,0.913310498801
UGP2,SNORD116-27-rt,0.913310498801
USP44,SNORD116-27-rt,0.913310498801
VASH2,SNORD116-27-rt,0.913310498801
ZDHHC19,SNORD116-27-rt,0.913310498801
ZNF398,SNORD116-27-rt,0.913310498801
ZSCAN10,SNORD116-27-rt,0.913310498801
AASS,ABT1-rt,0.911603629207
C12orf56,ABT1-rt,0.911603629207
CAPN11,ABT1-rt,0.911603629207
CHST4,ABT1-rt,0.911603629207
CPNE9,ABT1-rt,0.911603629207
CR2,ABT1-rt,0.911603629207
CYP2S1,ABT1-rt,0.911603629207
DNMT3B,ABT1-rt,0.911603629207
DPPA4,ABT1-rt,0.911603629207
EPHA1,ABT1-rt,0.911603629207
ERVMER34-1,ABT1-rt,0.911603629207
FAM124B,ABT1-rt,0.911603629207
FAM46B,ABT1-rt,0.911603629207
FOXD3,ABT1-rt,0.911603629207
GLS2,ABT1-rt,0.911603629207
HHLA2,ABT1-rt,0.911603629207
HLA-DPB2,ABT1-rt,0.911603629207
HTR3A,ABT1-rt,0.911603629207
IDO1,ABT1-rt,0.911603629207
JARID2,ABT1-rt,0.911603629207
KCND2,ABT1-rt,0.911603629207
LCK,ABT1-rt,0.911603629207
LECT1,ABT1-rt,0.911603629207
POLR3G,ABT1-rt,0.911603629207
PPM1B,ABT1-rt,0.911603629207
PRDM14,ABT1-rt,0.911603629207
RASGRP2,ABT1-rt,0.911603629207
SEMG1,ABT1-rt,0.911603629207
SMPDL3B,ABT1-rt,0.911603629207
SNRPN,ABT1-rt,0.911603629207
UGP2,ABT1-rt,0.911603629207
USP44,ABT1-rt,0.911603629207
VASH2,ABT1-rt,0.911603629207
ZDHHC19,ABT1-rt,0.911603629207
ZNF398,ABT1-rt,0.911603629207
ZSCAN10,ABT1-rt,0.911603629207
AASS,HMGN4-rt,0.875693600501
C12orf56,HMGN4-rt,0.875693600501
CAPN11,HMGN4-rt,0.875693600501
CHST4,HMGN4-rt,0.875693600501
CPNE9,HMGN4-rt,0.875693600501
CR2,HMGN4-rt,0.875693600501
CYP2S1,HMGN4-rt,0.875693600501
DNMT3B,HMGN4-rt,0.875693600501
DPPA4,HMGN4-rt,0.875693600501
EPHA1,HMGN4-rt,0.875693600501
ERVMER34-1,HMGN4-rt,0.875693600501
FAM124B,HMGN4-rt,0.875693600501
FAM46B,HMGN4-rt,0.875693600501
FOXD3,HMGN4-rt,0.875693600501
GLS2,HMGN4-rt,0.875693600501
HHLA2,HMGN4-rt,0.875693600501
HLA-DPB2,HMGN4-rt,0.875693600501
HTR3A,HMGN4-rt,0.875693600501
IDO1,HMGN4-rt,0.875693600501
JARID2,HMGN4-rt,0.875693600501
KCND2,HMGN4-rt,0.875693600501
LCK,HMGN4-rt,0.875693600501
LECT1,HMGN4-rt,0.875693600501
POLR3G,HMGN4-rt,0.875693600501
PPM1B,HMGN4-rt,0.875693600501
PRDM14,HMGN4-rt,0.875693600501
RASGRP2,HMGN4-rt,0.875693600501
SEMG1,HMGN4-rt,0.875693600501
SMPDL3B,HMGN4-rt,0.875693600501
SNRPN,HMGN4-rt,0.875693600501
UGP2,HMGN4-rt,0.875693600501
USP44,HMGN4-rt,0.875693600501
VASH2,HMGN4-rt,0.875693600501
ZDHHC19,HMGN4-rt,0.875693600501
ZNF398,HMGN4-rt,0.875693600501
ZSCAN10,HMGN4-rt,0.875693600501
AASS,ERN2-rt,0.802433130946
C12orf56,ERN2-rt,0.802433130946
CAPN11,ERN2-rt,0.802433130946
CHST4,ERN2-rt,0.802433130946
CPNE9,ERN2-rt,0.802433130946
CR2,ERN2-rt,0.802433130946
CYP2S1,ERN2-rt,0.802433130946
DNMT3B,ERN2-rt,0.802433130946
DPPA4,ERN2-rt,0.802433130946
EPHA1,ERN2-rt,0.802433130946
ERVMER34-1,ERN2-rt,0.802433130946
FAM124B,ERN2-rt,0.802433130946
FAM46B,ERN2-rt,0.802433130946
FOXD3,ERN2-rt,0.802433130946
GLS2,ERN2-rt,0.802433130946
HHLA2,ERN2-rt,0.802433130946
HLA-DPB2,ERN2-rt,0.802433130946
HTR3A,ERN2-rt,0.802433130946
IDO1,ERN2-rt,0.802433130946
JARID2,ERN2-rt,0.802433130946
KCND2,ERN2-rt,0.802433130946
LCK,ERN2-rt,0.802433130946
LECT1,ERN2-rt,0.802433130946
POLR3G,ERN2-rt,0.802433130946
PPM1B,ERN2-rt,0.802433130946
PRDM14,ERN2-rt,0.802433130946
RASGRP2,ERN2-rt,0.802433130946
SEMG1,ERN2-rt,0.802433130946
SMPDL3B,ERN2-rt,0.802433130946
SNRPN,ERN2-rt,0.802433130946
UGP2,ERN2-rt,0.802433130946
USP44,ERN2-rt,0.802433130946
VASH2,ERN2-rt,0.802433130946
ZDHHC19,ERN2-rt,0.802433130946
ZNF398,ERN2-rt,0.802433130946
ZSCAN10,ERN2-rt,0.802433130946
AASS,ZSCAN9-rt,0.9139507842
C12orf56,ZSCAN9-rt,0.9139507842
CAPN11,ZSCAN9-rt,0.9139507842
CHST4,ZSCAN9-rt,0.9139507842
CPNE9,ZSCAN9-rt,0.9139507842
CR2,ZSCAN9-rt,0.9139507842
CYP2S1,ZSCAN9-rt,0.9139507842
DNMT3B,ZSCAN9-rt,0.9139507842
DPPA4,ZSCAN9-rt,0.9139507842
EPHA1,ZSCAN9-rt,0.9139507842
ERVMER34-1,ZSCAN9-rt,0.9139507842
FAM124B,ZSCAN9-rt,0.9139507842
FAM46B,ZSCAN9-rt,0.9139507842
FOXD3,ZSCAN9-rt,0.9139507842
GLS2,ZSCAN9-rt,0.9139507842
HHLA2,ZSCAN9-rt,0.9139507842
HLA-DPB2,ZSCAN9-rt,0.9139507842
HTR3A,ZSCAN9-rt,0.9139507842
IDO1,ZSCAN9-rt,0.9139507842
JARID2,ZSCAN9-rt,0.9139507842
KCND2,ZSCAN9-rt,0.9139507842
LCK,ZSCAN9-rt,0.9139507842
LECT1,ZSCAN9-rt,0.9139507842
POLR3G,ZSCAN9-rt,0.9139507842
PPM1B,ZSCAN9-rt,0.9139507842
PRDM14,ZSCAN9-rt,0.9139507842
RASGRP2,ZSCAN9-rt,0.9139507842
SEMG1,ZSCAN9-rt,0.9139507842
SMPDL3B,ZSCAN9-rt,0.9139507842
SNRPN,ZSCAN9-rt,0.9139507842
UGP2,ZSCAN9-rt,0.9139507842
USP44,ZSCAN9-rt,0.9139507842
VASH2,ZSCAN9-rt,0.9139507842
ZDHHC19,ZSCAN9-rt,0.9139507842
ZNF398,ZSCAN9-rt,0.9139507842
ZSCAN10,ZSCAN9-rt,0.9139507842
AASS,PWAR1-rt,0.900094633942
C12orf56,PWAR1-rt,0.900094633942
CAPN11,PWAR1-rt,0.900094633942
CHST4,PWAR1-rt,0.900094633942
CPNE9,PWAR1-rt,0.900094633942
CR2,PWAR1-rt,0.900094633942
CYP2S1,PWAR1-rt,0.900094633942
DNMT3B,PWAR1-rt,0.900094633942
DPPA4,PWAR1-rt,0.900094633942
EPHA1,PWAR1-rt,0.900094633942
ERVMER34-1,PWAR1-rt,0.900094633942
FAM124B,PWAR1-rt,0.900094633942
FAM46B,PWAR1-rt,0.900094633942
FOXD3,PWAR1-rt,0.900094633942
GLS2,PWAR1-rt,0.900094633942
HHLA2,PWAR1-rt,0.900094633942
HLA-DPB2,PWAR1-rt,0.900094633942
HTR3A,PWAR1-rt,0.900094633942
IDO1,PWAR1-rt,0.900094633942
JARID2,PWAR1-rt,0.900094633942
KCND2,PWAR1-rt,0.900094633942
LCK,PWAR1-rt,0.900094633942
LECT1,PWAR1-rt,0.900094633942
